employee_id,hire_date,department,role,salary_usd,age,gender,office,education,years_experience,performance_score,satisfaction_score,is_active
EMP-0001,2021-01-03,Operations,Ops Analyst,65500,25,Male,Berlin,High School,0,4.6,2.9,True
EMP-0002,2015-08-31,Legal,Paralegal,85200,57,Non-binary,New York,Bachelor,27,3.5,6.2,True
EMP-0003,2018-04-01,Legal,Paralegal,111600,24,Female,London,High School,1,3.3,6.0,True
EMP-0004,2021-04-30,Sales,Account Executive,89900,57,Male,Sydney,Bachelor,4,3.0,5.8,True
EMP-0005,2022-11-03,Product,VP of Product,159100,37,Male,New York,Master,5,3.1,8.9,True
EMP-0006,2023-06-29,Finance,Analyst,71800,48,Female,London,PhD,5,2.7,9.7,True
EMP-0007,2015-10-09,Operations,Ops Manager,88000,53,Male,Berlin,PhD,29,3.8,1.6,True
EMP-0008,2018-11-22,Finance,CFO,123400,46,Male,Toronto,Master,21,1.7,2.1,True
EMP-0009,2020-07-26,Finance,Accountant,110000,47,Male,London,PhD,12,2.6,3.5,True
EMP-0010,2019-04-08,Legal,Senior Counsel,142700,44,Male,London,High School,21,1.7,3.1,True
EMP-0011,2019-09-13,Product,Product Manager,114600,22,Non-binary,Berlin,Master,0,4.8,7.2,True
EMP-0012,2019-06-19,Engineering,Staff Engineer,183900,57,Female,Toronto,High School,25,2.9,4.6,True
EMP-0013,2015-08-04,HR,HR Director,87800,43,Male,New York,Bachelor,19,3.1,9.5,True
EMP-0014,2017-10-30,Sales,Account Executive,98600,31,Female,Sydney,Master,10,2.9,2.0,True
EMP-0015,2016-02-23,Product,VP of Product,167000,27,Non-binary,Berlin,Master,1,2.9,7.2,True
EMP-0016,2023-07-03,HR,HR Manager,76300,56,Non-binary,Berlin,High School,1,3.8,3.4,True
EMP-0017,2023-09-27,Marketing,Marketing Manager,113600,56,Non-binary,Berlin,Bachelor,34,3.5,8.1,True
EMP-0018,2020-10-21,HR,Recruiter,84800,36,Female,Berlin,High School,6,5.0,8.1,True
